function	observation	count
l_Minidregg_Kernel_ResourceBirthPolicyController_Concrete_policyPreCell___redArg	rawLeg calls (excluding closed constants)	0
l_Minidregg_Kernel_ResourceBirthPolicyController_Concrete_policyPreCell___redArg	branchRequest references	0
l_Minidregg_Kernel_ResourceBirthPolicyController_Concrete_policyPostState___redArg	rawLeg calls (excluding closed constants)	0
l_Minidregg_Kernel_ResourceBirthPolicyController_Concrete_policyPostState___redArg	branchRequest references	0
l_Minidregg_Kernel_ResourceBirthPolicyController_Concrete_Pending_admitBranch___redArg	Pending_branchStep calls	1
l_Minidregg_Kernel_ResourceBirthPolicyController_Concrete_Pending_admitBranch___redArg	compilerProfile calls	1
l_Minidregg_Kernel_ResourceBirthPolicyController_Concrete_preparePending___redArg	List_mapTR calls	1
l_Minidregg_Kernel_ResourceBirthPolicyController_Concrete_preparePending___redArg	List_nodupDecidable calls	1
l_Minidregg_Compiler_PredOrder_binaryDigitsDirect___redArg	lean_nat_pow calls	1
l_Minidregg_Compiler_PredOrder_binaryDigitsDirect___redArg	lean_nat_div calls	1
l_Minidregg_Compiler_PredOrder_binaryDigitsDirect___redArg	lean_nat_mod calls	1
l_Minidregg_Compiler_PredOrder_binaryDigitsDirect___redArg	Fin_cases references	0
PredCompile.c all function bodies	binaryDigitsDirect calls	1
PredCompile.c all function bodies	recursive binaryDigits calls	0
